"","Habit","Reward","Fear","PHQ9_1","PHQ9_2","PHQ9_3","PHQ9_4","PHQ9_5","PHQ9_6","PHQ9_7","PHQ9_8","PHQ9_9","AUDIT10_Total"
"Habit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Reward",0,0,0,0,0,0,0,0,0,0,0,0,0
"Fear",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_1",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_2",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_3",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_4",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_5",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_6",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_7",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_8",0,0,0,0,0,0,0,0,0,0,0,0,0
"PHQ9_9",0,0,0,0,0,0,0,0,0,0,0,0,0
"AUDIT10_Total",0,0,0,0,0,0,0,0,0,0,0,0,0
