"","Habit","Reward","Fear","PHQ9_1","PHQ9_2","PHQ9_3","PHQ9_4","PHQ9_5","PHQ9_6","PHQ9_7","PHQ9_8","PHQ9_9","AUDIT10_Total"
"Habit",1,0.962037962037962,1,0.962037962037962,1,1,1,1,1,1,1,1,0.962037962037962
"Reward",0.962037962037962,1,0.962037962037962,1,1,1,1,1,1,1,0.962037962037962,1,0.962037962037962
"Fear",1,0.962037962037962,1,1,0.962037962037962,0.962037962037962,1,1,0.962037962037962,1,1,1,0.962037962037962
"PHQ9_1",0.962037962037962,1,1,1,0.962037962037962,0.962037962037962,1,1,1,0.962037962037962,1,1,1
"PHQ9_2",1,1,0.962037962037962,0.962037962037962,1,0.962037962037962,1,0.962037962037962,0.962037962037962,1,0.962037962037962,1,1
"PHQ9_3",1,1,0.962037962037962,0.962037962037962,0.962037962037962,1,1,1,1,0.962037962037962,1,1,1
"PHQ9_4",1,1,1,1,1,1,1,0.962037962037962,1,0.962037962037962,1,1,1
"PHQ9_5",1,1,1,1,0.962037962037962,1,0.962037962037962,1,0.962037962037962,1,0.962037962037962,1,1
"PHQ9_6",1,1,0.962037962037962,1,0.962037962037962,1,1,0.962037962037962,1,0.962037962037962,1,1,1
"PHQ9_7",1,1,1,0.962037962037962,1,0.962037962037962,0.962037962037962,1,0.962037962037962,1,0.962037962037962,0.962037962037962,1
"PHQ9_8",1,0.962037962037962,1,1,0.962037962037962,1,1,0.962037962037962,1,0.962037962037962,1,1,0.962037962037962
"PHQ9_9",1,1,1,1,1,1,1,1,1,0.962037962037962,1,1,1
"AUDIT10_Total",0.962037962037962,0.962037962037962,0.962037962037962,1,1,1,1,1,1,1,0.962037962037962,1,1
